Local time,Open,High,Low,Close,Volume
20.12.2013 07:00:00.000 GMT+0900,170.629,170.858,170.528,170.715,16041.38
20.12.2013 11:00:00.000 GMT+0900,170.715,170.95,170.614,170.839,14077.75
20.12.2013 15:00:00.000 GMT+0900,170.843,171.056,170.5,170.734,25289.42
20.12.2013 19:00:00.000 GMT+0900,170.734,170.902,170.513,170.694,29638.19
20.12.2013 23:00:00.000 GMT+0900,170.699,170.844,169.983,170.16,42128.64
21.12.2013 03:00:00.000 GMT+0900,170.174,170.209,169.77,169.959,10488.9
21.12.2013 07:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
21.12.2013 11:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
21.12.2013 15:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
21.12.2013 19:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
21.12.2013 23:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
22.12.2013 03:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
22.12.2013 07:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
22.12.2013 11:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
22.12.2013 15:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
22.12.2013 19:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
22.12.2013 23:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
23.12.2013 03:00:00.000 GMT+0900,169.959,169.959,169.959,169.959,0.0
23.12.2013 07:00:00.000 GMT+0900,169.874,170.219,169.796,170.101,5524.25
23.12.2013 11:00:00.000 GMT+0900,170.098,170.15,170.029,170.15,4488.22
23.12.2013 15:00:00.000 GMT+0900,170.15,170.244,169.964,169.964,17582.63
23.12.2013 19:00:00.000 GMT+0900,169.969,170.035,169.786,169.801,20006.36
23.12.2013 23:00:00.000 GMT+0900,169.798,170.354,169.766,170.175,22514.63
24.12.2013 03:00:00.000 GMT+0900,170.184,170.294,170.03,170.257,9967.59
24.12.2013 07:00:00.000 GMT+0900,170.251,170.684,170.209,170.681,13112.62
24.12.2013 11:00:00.000 GMT+0900,170.674,170.708,170.254,170.264,11925.47
24.12.2013 15:00:00.000 GMT+0900,170.264,170.45,170.132,170.444,13998.59
24.12.2013 19:00:00.000 GMT+0900,170.444,170.822,170.388,170.763,13450.06
24.12.2013 23:00:00.000 GMT+0900,170.763,170.799,170.61,170.634,11018.21
25.12.2013 03:00:00.000 GMT+0900,170.634,170.864,170.577,170.615,6060.17
25.12.2013 07:00:00.000 GMT+0900,170.615,170.705,170.464,170.684,1953.28
25.12.2013 11:00:00.000 GMT+0900,170.674,170.731,170.464,170.644,1934.18
25.12.2013 15:00:00.000 GMT+0900,170.639,170.844,170.602,170.751,1620.35
25.12.2013 19:00:00.000 GMT+0900,170.751,170.751,170.751,170.751,0.0
25.12.2013 23:00:00.000 GMT+0900,170.751,170.751,170.751,170.751,0.0
26.12.2013 03:00:00.000 GMT+0900,170.751,170.751,170.751,170.751,0.0
26.12.2013 07:00:00.000 GMT+0900,170.594,171.837,170.566,171.581,11803.37
26.12.2013 11:00:00.000 GMT+0900,171.579,171.757,171.418,171.609,8759.11
26.12.2013 15:00:00.000 GMT+0900,171.606,171.73,171.509,171.695,10981.41
26.12.2013 19:00:00.000 GMT+0900,171.694,172.065,171.574,172.004,13408.23
26.12.2013 23:00:00.000 GMT+0900,172.004,172.197,171.839,171.84,11327.81
27.12.2013 03:00:00.000 GMT+0900,171.84,172.025,171.814,171.972,7108.71
27.12.2013 07:00:00.000 GMT+0900,171.971,172.491,171.884,172.304,11766.84
27.12.2013 11:00:00.000 GMT+0900,172.304,172.413,172.156,172.38,10508.52
27.12.2013 15:00:00.000 GMT+0900,172.381,172.914,172.264,172.828,21120.98
27.12.2013 19:00:00.000 GMT+0900,172.832,173.944,172.792,173.361,21810.43
27.12.2013 23:00:00.000 GMT+0900,173.361,173.566,173.067,173.233,17472.33
28.12.2013 03:00:00.000 GMT+0900,173.23,173.479,173.032,173.313,8519.86
28.12.2013 07:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
28.12.2013 11:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
28.12.2013 15:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
28.12.2013 19:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
28.12.2013 23:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
29.12.2013 03:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
29.12.2013 07:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
29.12.2013 11:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
29.12.2013 15:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
29.12.2013 19:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
29.12.2013 23:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
30.12.2013 03:00:00.000 GMT+0900,173.313,173.313,173.313,173.313,0.0
30.12.2013 07:00:00.000 GMT+0900,173.347,173.786,173.324,173.638,9964.96
30.12.2013 11:00:00.000 GMT+0900,173.638,173.66,173.396,173.506,7789.88
30.12.2013 15:00:00.000 GMT+0900,173.506,173.852,173.469,173.594,14025.77
30.12.2013 19:00:00.000 GMT+0900,173.594,173.619,173.108,173.339,19922.13
30.12.2013 23:00:00.000 GMT+0900,173.339,173.66,173.32,173.514,19996.16
31.12.2013 03:00:00.000 GMT+0900,173.514,173.656,173.374,173.479,6853.25
31.12.2013 07:00:00.000 GMT+0900,173.479,173.544,172.95,172.979,7380.45
31.12.2013 11:00:00.000 GMT+0900,172.979,173.139,172.829,173.119,5015.51
31.12.2013 15:00:00.000 GMT+0900,173.119,173.884,172.953,173.665,17898.06
31.12.2013 19:00:00.000 GMT+0900,173.662,173.697,173.229,173.414,19182.55
31.12.2013 23:00:00.000 GMT+0900,173.419,174.512,173.419,174.35,18947.46
01.01.2014 03:00:00.000 GMT+0900,174.356,174.564,174.241,174.26,10494.94
01.01.2014 07:00:00.000 GMT+0900,174.26,174.26,174.26,174.26,0.0
01.01.2014 11:00:00.000 GMT+0900,174.26,174.26,174.26,174.26,0.0
01.01.2014 15:00:00.000 GMT+0900,174.26,174.26,174.26,174.26,0.0
01.01.2014 19:00:00.000 GMT+0900,174.26,174.26,174.26,174.26,0.0
01.01.2014 23:00:00.000 GMT+0900,174.26,174.26,174.26,174.26,0.0
02.01.2014 03:00:00.000 GMT+0900,174.26,174.26,174.26,174.26,0.0
02.01.2014 07:00:00.000 GMT+0900,174.329,174.834,174.289,174.644,9695.04
02.01.2014 11:00:00.000 GMT+0900,174.644,174.834,174.491,174.81,10691.18
02.01.2014 15:00:00.000 GMT+0900,174.81,174.814,174.304,174.309,29738.13
02.01.2014 19:00:00.000 GMT+0900,174.312,174.489,173.197,173.244,34406.53
02.01.2014 23:00:00.000 GMT+0900,173.244,173.264,172.052,172.394,42746.63
03.01.2014 03:00:00.000 GMT+0900,172.394,172.441,171.834,172.381,19889.81
03.01.2014 07:00:00.000 GMT+0900,172.362,172.509,172.232,172.289,9236.73
03.01.2014 11:00:00.000 GMT+0900,172.289,172.304,171.045,171.304,22787.76
03.01.2014 15:00:00.000 GMT+0900,171.304,171.854,171.104,171.662,26183.02
03.01.2014 19:00:00.000 GMT+0900,171.662,172.039,171.357,171.469,29788.95
03.01.2014 23:00:00.000 GMT+0900,171.469,171.917,171.14,171.644,32073.58
04.01.2014 03:00:00.000 GMT+0900,171.639,172.169,171.513,172.106,14922.32
04.01.2014 07:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
04.01.2014 11:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
04.01.2014 15:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
04.01.2014 19:00:00.000 GMT+0900,172.106,172.106,172.106,172.106,0.0
